Index,Set,Type,Date,Source,Link,Title,Context,Comment,Hate speech,Counter speech,Gender,Disability,Race/Nationality,Region (Korea),Age,Profanity,Ikiyano-style
1,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,미래가 밝은 회사이니 투자하라는 뜻에서 샤라웃 해주는 거임,1,0,1,0,0,0,0,0,0
2,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,쉐보레 차 좋은데엔 이유가 있었노,1,0,1,0,0,0,0,0,1
3,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,풀매수 간다,1,0,1,0,0,0,0,0,0
4,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,옳게된 기업,1,0,1,0,0,0,0,0,0
5,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,그니까 저기에 주식투자 하면 된다는거지?,1,0,1,0,0,0,0,0,0
6,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,참기업 명단 공개 ㅋㅋㅋ,1,0,1,0,0,0,0,0,0
7,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,일잘하는기업 32개사 명단공개,1,0,1,0,0,0,0,0,0
8,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,믿을 만한 그룹이라는 얘기네,1,0,1,0,0,0,0,0,0
9,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,저런 건 명예훈장으로 여겨야지,1,0,1,0,0,0,0,0,0
10,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,훈장 아님?,1,0,1,0,0,0,0,0,0
11,1,1,2024-06-02,디시인사이드,https://gall.dcinside.com/board/view/?id=dcbest&no=236239,싱글벙글 이제부터 여성 안 뽑는 '여혐업체' 박제한다....jpg,여성 고용이 미흡해 정부가 불이익을 준 기업의 이름이 공개되었다.,신뢰리스트냐,1,0,1,0,0,0,0,0,0
